time,low,high,open,close,volume
1731369600,85010,90100,88770.74,88035.43,40111.80924643
1731456000,86220.5,93495,88035.43,90493.82,42318.6909168
1731542400,86672.07,91831.25,90499.4,87340.4,23422.75915863
1731628800,87100.83,91934.62,87338.96,91058.36,20388.33115227
1731715200,90069.21,91820.73,91058.36,90636.24,6598.0269304
1731801600,88713.64,91439.82,90638.54,89886.69,5574.55122824
1731888000,89372.65,92674.8,89877.11,90520.3,17340.77166451
1731974400,90403.24,94105.84,90521.32,92435.89,18267.16111244
1732060800,91600,94989.99,92445.04,94393.15,20329.039987
1732147200,94127.2,99073.53,94384.15,98439.09,31188.09394751
1732233600,97209.52,99860,98439.1,99024.03,29936.62215019
1732320000,97215.01,99044.11,99024.03,97778.77,12072.47203722
1732406400,95780.77,98700,97778.78,98028.18,8654.77135767
1732492800,92534.93,98999,98032.06,93000.01,20695.912495
1732579200,90682.58,95004.92,93001.48,91929.54,17848.01962899
1732665600,91747.46,97386.06,91929.53,95951.19,15213.90946356
1732752000,94671.59,96676.31,95951.19,95665.53,5586.55288339
1732838400,95383.46,98750,95665.53,97490.56,12587.02498942
1732924800,96129.73,97509.6,97489.8,96465.42,3476.04255853
1733011200,95753.42,97895.9,96464.95,97263.18,4039.27591451
1733097600,94400.63,98200,97259.17,95862.89,15554.61486745
1733184000,93571.3,96310.1,95862.89,95924.52,17898.7046212
1733270400,94634.85,99263.2,95924.85,98746.24,17528.92050771
1733356800,92055.86,104000,98746.24,97044.23,36399.8182427
1733443200,96424.2,102104.12,97049.47,99891.35,17801.21293952
1733529600,99012.73,100583.27,99885.37,99929.32,4774.3508777
1733616000,98729.66,101435.05,99919.2,101174.99,4230.35225168
1733702400,94220.8,101290.73,101175,97324.81,20103.05073464
1733788800,94273.38,98338.17,97330.66,96660.76,20620.53877488
1733875200,95722.79,101984.98,96660.75,101202.11,21190.23753294
1733961600,99298.39,102595,101211.61,100030.47,14796.92456547
1734048000,99220.81,101959.13,100024.75,101428.75,13327.59954074
1734134400,100600,102650,101428.74,101399.99,4181.40180281
1734220800,101221.34,105100,101400,104447.76,7796.33358128
1734307200,103289.21,107857.79,104445.15,106099.81,22575.87902891
1734393600,105337.97,108388.88,106099.98,106136.99,11994.58863972
1734480000,99939.82,106528.13,106145.83,100150.73,22294.42835455
1734566400,95539.67,102796.22,100148.6,97372.21,23522.12863874
1734652800,92115.66,98132.47,97372.2,97765,21766.62386138
1734739200,96368,99596.57,97762.75,97230.08,6451.43271418
1734825600,94182.98,97387.98,97230.09,95087.75,4933.50127735
1734912000,92360.91,96430.08,95091.15,94764.56,13476.98947566
1734998400,93426.25,99444,94767.88,98594.47,13355.36314305
1735084800,97557.48,99484.92,98594.47,99346.28,5254.2370598
1735171200,95083.93,99887,99358.67,95669.49,11403.37268934
1735257600,93234.31,97340.47,95669.4,94171.89,13169.12897588
1735344000,94002.72,95534.17,94171.7,95130.82,2722.6591363
1735430400,92841.48,95170.06,95125.59,93563.35,3417.52751094
1735516800,91271.19,94910.48,93563.35,92620.71,15271.24432744
1735603200,91887.13,96148.94,92620.7,93354.22,10348.6325655
1735689600,92743.63,94960.91,93347.59,94383.59,6871.73848196
1735776000,94177,97776.99,94383.59,96903.19,10912.47383962
1735862400,96016.63,98969.92,96905.48,98136.51,9021.88538159
1735948800,97516.65,98761.02,98139.85,98209.85,2742.08960614
1736035200,97250,98814,98209.85,98345.33,2377.92175899
1736121600,97900,102500,98347.65,102279.41,15173.55606778
1736208000,96105.11,102735.99,102279.41,96941.98,16587.2869223
1736294400,92500,97254.35,96941.98,95036.63,14182.29739458
1736380800,91187,95363.26,95033.18,92547.44,9712.37853215
1736467200,92209.25,95862.92,92547.44,94701.18,12634.03407823
1736553600,93804.05,94983.65,94701.48,94565.02,2638.69956767
1736640000,93670.3,95383.84,94569.91,94509.62,2025.81612971
1736726400,89028.64,95900,94507.24,94506.45,13094.86359481
1736812800,94311.36,97353.29,94507.35,96534.96,11210.74226727
1736899200,96400,100716.45,96534.97,100510.23,13610.74729401
1736985600,97277.58,100880,100504.27,99981.78,12312.37366854
1737072000,99937.81,105970,99981.46,104107,20518.30949325
1737158400,102233.45,104933.15,104107,104435,7835.29991824
1737244800,99518,106314.44,104435.01,101211.13,13312.63685598
1737331200,99416.27,109358.01,101217.78,102145.43,32342.18311338
1737417600,100051,107291.1,102145.42,106159.26,19411.23488978
1737504000,103100,106431.34,106159.27,103667.11,10730.018962
1737590400,101200.01,106870.87,103659.6,103926.36,25064.86499945
1737676800,102751.92,107200,103926.36,104850.27,12921.99361413
1737763200,104104,105294,104866.13,104733.56,3404.85308291
1737849600,102452.24,105478.8,104729.92,102563,4575.36611531
1737936000,97715.03,103228.46,102565.28,102062.42,23647.14111877
1738022400,100213.8,103770.85,102063.92,101290,9488.53429464
1738108800,101275.6,104829.64,101290.01,103747.25,11403.20278905
1738195200,103289.74,106484.77,103747.25,104742.64,13061.34881233
1738281600,101506,106090,104742.63,102411.26,13313.68104489
1738368000,100250,102781.65,102414.05,100623.85,3390.25555744
1738454400,96179,101459.84,100623.88,97676.52,10366.65062753
1738540800,91178.01,102599.85,97676.53,101460.2,31328.72219576
1738627200,96145.76,101812.23,101460.15,97795.05,14168.7031661
1738713600,96161.01,99230.49,97795.06,96638.33,9308.59185883
1738800000,95674.96,99182.15,96635.62,96564.62,9168.94674634
1738886400,95614.96,100235.79,96575.24,96537.08,12171.82534167
1738972800,95682.33,96919.05,96536.93,96476.25,2972.45715184
1739059200,94730.67,97342.28,96476.24,96475.82,3417.87009701
1739145600,95257.2,98367.23,96481.47,97444.41,6375.72539123
1739232000,94831.07,98500,97451.66,95774.08,7737.05105717
1739318400,94066.92,98119.98,95770.95,97862.53,9078.50356189
1739404800,95220,98100,97864.28,96625.29,6803.6078927
1739491200,96268.56,98890.11,96625.29,97509.03,7744.67640105
1739577600,97225.01,97997.85,97507.94,97596.94,1626.51929078
1739664000,96057.68,97738.22,97596.54,96119.88,2174.29326885
1739750400,95200,97050.64,96119.88,95781.8,3533.01273263
1739836800,93333,96730,95781.8,95607.4,8867.39878431
1739923200,95000.01,96880,95612.97,96632.03,6945.44897339
